,,c2925.prn,c3025.prn,c3125.prn,c3225.prn,c3325.prn,p2925.prn,p3025.prn,p3125.prn,p3225.prn,p3325.prn
34535,3078,243,176,110,78,46,49,85,123,178,244
34536,3096.5,214,160,101,62,35,60,96,143,203,273
34537,3114.5,253,184,120,83,44,46,74,128,169,233
34540,3103.5,245,177,121,78,45,47,76,119,173,238
34541,3119.5,256,186,127,83,49,42,70,108,161,225
34542,3084.5,221,156,133,64,35,52,85,115,170,258
34543,3095,225,160,110,66,37,50,82,127,184,253
34544,3082.5,226,160,107,66,37,49,81,126,183,252
34548,3155.5,273,201,140,91,54,34,58,95,144,206
34549,3159.5,286,212,149,98,60,31,65,65,145,194
34550,3150.5,273,200,155,90,53,34,57,97,143,205
34551,3166.5,268,196,135,87,51,34,57,95,145,207
34554,3169.5,292,217,152,100,60,28,48,81,127,186
34555,3167.5,279,205,142,92,54,30,52,87,135,196
34556,3167,287,205,145,97,59,31,60,96,134,194
34557,3144.5,264,220,132,102,49,36,60,98,148,212
34558,3142.5,245,185,117,73,42,45,75,109,162,229
34561,3142.5,273,199,137,88,52,32,58,90,139,201
34562,3148.5,270,196,142,85,49,35,65,93,142,205
34563,3189.5,292,216,150,98,59,29,49,81,127,186
34564,3182,313,234,165,110,67,24,42,71,115,170
34565,3191.5,313,238,95,105,66,24,52,77,118,167
34568,3168.5,294,220,150,95,56,28,50,79,123,182
34569,3174.5,299,222,153,98,58,26,45,80,118,176
34570,3203,327,246,174,104,69,21,37,77,102,155
34571,3236,350,246,174,128,69,18,35,60,92,142
34572,3262.5,379,293,215,120,75,13,25,60,74,118
34576,3251.5,359,274,197,148,81,14,24,56,80,128
34577,3251,359,274,197,144,80,14,27,47,78,126
34578,3216.5,322,240,168,130,62,19,34,59,95,150
34579,3222.5,327,244,171,116,70,18,32,57,94,146
34582,3240.5,344,260,184,105,65,22,38,68,84,133
34583,3204,305,224,153,118,53,20,35,63,104,160
34584,3205,308,227,155,108,60,19,34,61,101,158
34585,3178,284,205,137,83,48,22,45,71,115,176
34586,3134,241,167,106,60,30,31,55,97,145,214
